GET	api/v1/general/cities/{id}		App\Http\Controllers\Api\General\CityController@show	api,throttle:public-api
GET	api/v1/general/pickup-locations		App\Http\Controllers\Api\General\PickupLocationController@index	api,throttle:public-api
GET	api/v1/general/pickup-locations/{id}		App\Http\Controllers\Api\General\PickupLocationController@show	api,throttle:public-api
GET	api/v1/general/fast-shipping/status		App\Http\Controllers\Api\General\FastShippingController@status	api,throttle:public-api
GET	api/v1/general/site-reviews		App\Http\Controllers\Api\General\SiteReviewController@index	api,throttle:public-api
GET	api/v1/general/currencies		App\Http\Controllers\Api\Currency\CurrencyController@index	api,throttle:public-api
POST	api/v1/general/currencies/select		App\Http\Controllers\Api\Currency\CurrencyController@select	api,throttle:public-api
GET|POST|PUT|PATCH|DELETE|OPTIONS	api/v1/general/checkout/callback	api.checkout.callback	App\Http\Controllers\Api\General\OrderController@checkoutCallback	api,throttle:public-api
GET|POST|PUT|PATCH|DELETE|OPTIONS	api/v1/general/checkout/error-callback	api.checkout.errorCallback	App\Http\Controllers\Api\General\OrderController@checkoutErrorCallback	api,throttle:public-api
POST	api/v1/general/coupons/apply		App\Http\Controllers\Api\General\CouponController@applyCoupon	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/checkout/promotions		App\Http\Controllers\Api\General\OrderController@eligiblePromotions	api,auth:sanctum,throttle:authenticated
POST	api/v1/general/checkout		App\Http\Controllers\Api\General\OrderController@checkout	api,auth:sanctum,throttle:authenticated
POST	api/v1/general/checkout/cod/{orderId}/mark-paid		App\Http\Controllers\Api\General\OrderController@markCodAsPaid	api,auth:sanctum,throttle:authenticated,permission:update-order-status
POST	api/v1/general/checkout/cashier/{orderId}/mark-paid		App\Http\Controllers\Api\General\OrderController@markCas
        hierPaid	api,auth:sanctum,throttle:authenticated,permission:update-order-status
POST	api/v1/general/fast-shipping/checkout		App\Http\Controllers\Api\General\FastShippingController@checkout	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/orders		App\Http\Controllers\Api\General\OrderController@index	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/orders/{orderId}/invoice		App\Http\Controllers\Api\General\OrderController@invoiceByOrderId	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/orders/{id}		App\Http\Controllers\Api\General\OrderController@show	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/digital/downloads		App\Http\Controllers\Api\General\DigitalDownloadController@index	api,auth:sanctum,throttle:authenticated
POST	api/v1/general/products/{id}/reviews		App\Http\Controllers\Api\General\ProductController@addProductReview	api,auth:sanctum,throttle:authenticated
PUT	api/v1/general/products/reviews/{id}		App\Http\Controllers\Api\General\ProductController@updateProductReview	api,auth:sanctum,throttle:authenticated
POST	api/v1/general/device-tokens		App\Http\Controllers\Api\General\DeviceTokenController@store	api,auth:sanctum,throttle:authenticated
DELETE	api/v1/general/device-tokens		App\Http\Controllers\Api\General\DeviceTokenController@destroy	api,auth:sanctum,throttle:authenticated
